Hz,AVR,PSS,AVR_PSS,PSS_Gain,K,Ts,a,p
0.1,-20,15.8872845011,-4.11271549892,0.139985916,1.0,0.02,1.0,0.363
0.2,-23,-23.2809596645,-46.2809596645,0.113880494,6.77,0.02,,
0.3,-27,-33.9859125255,-60.9859125255,0.10176795,0.5,4.22,,
0.4,-30,-37.269746946,-67.269746946,0.095501836,,4.22,,
0.5,-34,-38.0061729771,-72.0061729771,0.092031827,,4.22,,
0.6,-37,-37.8295057814,-74.8295057814,0.090063827,,2.15,,
0.7,-40,-37.3832749812,-77.3832749812,0.088967257,,,,
0.8,-45,-36.9351800608,-81.9351800608,0.088402113,,,,
0.9,-50,-36.5937554671,-86.5937554671,0.088171006,,,,
1.0,-53,-36.396630826,-89.396630826,0.088152872,,,,
1.1,-57,-36.3495557598,-93.3495557598,0.088270319,,,,
1.2,-60,-36.4444382421,-96.4444382421,0.0884723,,,,
1.3,-65,-36.6678433793,-101.667843379,0.088724354,,,,
1.4,-77,-37.0049831829,-114.004983183,0.089002824,,,,
1.5,-87,-37.4415272832,-124.441527283,0.089291291,,,,
1.6,-97,-37.9643519481,-134.964351948,0.089578302,,,,
1.7,-84,-38.5617756909,-122.561775691,0.089855876,,,,
1.8,-74,-39.2235541184,-113.223554118,0.090118497,,,,
1.9,-70,-39.9407701088,-109.940770109,0.090362417,,,,
2.0,-67,-40.705686661,-107.705686661,0.090585176,,,,
