f,AVR,PSS,SUM,AMP,ParaName,ParaValue
0.1,-21.0,-45.374798186356614,-66.37479818635661,1.3731376460697968,PSSSet,-105.0
0.2,-38.0,-53.57321303073661,-91.57321303073661,0.7617353013989591,Ks1,5.0
0.3,-40.0,-51.04644155310108,-91.04644155310109,0.5421013326401193,Ks2,0.939729025
0.4,-54.0,-46.27474359936874,-100.27474359936875,0.4370342102303559,Ks3,1.0
0.5,-67.0,-41.13133867880082,-108.13133867880083,0.37941443396616903,Tw1,5.0
0.6,-70.0,-36.25691051912786,-106.25691051912786,0.34566005099685043,Tw2,5.0
0.7,-83.0,-31.897756778263826,-114.89775677826383,0.3253929869558886,Tw3,5.0
0.8,-83.0,-28.133179227653343,-111.13317922765334,0.3133251986905113,Tw4,0.0
0.9,-94.0,-24.962214473072326,-118.96221447307232,0.3064728603132434,T1,0.16
1.0,-103.0,-22.34481823928583,-125.34481823928583,0.30302439787265334,T2,0.1
1.1,-102.0,-20.223813499743976,-122.22381349974398,0.3018204147295855,T3,0.16
1.2,-81.0,-18.53702205595454,-99.53702205595454,0.30209075096172777,T4,0.02
1.3,-76.0,-17.2238349611681,-93.22383496116811,0.30331071553675554,T5,0.16
1.4,-69.0,-16.22850857155347,-85.22850857155348,0.3051171350839495,T6,0.1
1.5,-74.0,-15.501538305872346,-89.50153830587234,0.3072565483203879,T7,5.0
1.6,-71.0,-14.99993843901118,-85.99993843901117,0.3095517510003432,T8,0.6
1.7,-91.0,-14.686935813093125,-105.68693581309313,0.31187939422334093,T9,0.12
1.8,-96.0,-14.531383227843103,-110.53138322784311,0.3141545600115643,M,5.0
1.9,-98.0,-14.507070778994485,-112.50707077899449,0.3163199185549074,N,1.0
2.0,-104.0,-14.592034146177953,-118.59203414617795,0.3183379917320413,Tj,5.3206827334689715
